circRNA_DB	hg19	hg38	gene_symbol	genomic_length	transcript_id	spliced_length	exon_number	exon_sizes	exon_offsets	samples	pubmed_id
hsa_circ_13347	chr19:34942885-34957919|+	chr19:34451980-34467014|+	UBA2	15034	NM_005499	870	7	167,94,113,156,97,106,137	0,2279,2463,6788,8489,12045,14897	H9 hESCs,oligodendroma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_13401	chr2:230723487-230744844|-	chr2:229858771-229880128|-	TRIP12	21357	NM_004238	950	2	803,147	0,21210	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_13409	chr19:8530207-8539128|+	chr19:8465323-8474244|+	HNRNPM	8921	NM_005968	682	7	192,154,50,61,102,45,78	0,911,2211,3450,6002,8340,8843	H9 hESCs	25242744
hsa_circ_13480	chr9:109685634-109697902|+	chr9:106923353-106935621|+	ZNF462	12268	NM_021224	6265	5	250,5627,165,104,119	0,779,7171,9092,12149	H9 hESCs	25242744
hsa_circ_13514	chr4:110580166-110585550|+	chr4:109659010-109664394|+	CCDC109B	5384	NM_017918	352	3	76,171,105	0,1184,5279	leukemia	22319583
hsa_circ_13533	chr13:103279361-103309557|+	chr13:102627011-102657207|+	TPP2	30196	NM_003291	2320	18	155,77,128,100,149,116,169,158,77,107,155,117,101,97,138,245,79,152	0,836,2470,3084,6938,8575,9212,10070,11227,13258,16210,17545,17897,19282,20195,21895,22396,30044	normal brain tissue	26873924
hsa_circ_13539	chr18:13681603-13682104|-	chr18:13681604-13682105|-	FAM210A	501	NM_001098801	501	1	501	0	H9 hESCs,Hs68	25242744,23249747
hsa_circ_13619	chr16:28743149-28743513|+	chr16:28731828-28732192|+	EIF3C	364	NM_001037808	364	1	364	0	Hs68	23249747
hsa_circ_13750	chr10:70547683-70548085|+	chr10:68787926-68788328|+	CCAR1	402	NM_018237	307	2	121,186	0,216	normal brain tissue,glioblastoma,Hs68	26873924,23249747
hsa_circ_13965	chr10:12123470-12136270|+	chr10:12081471-12094271|+	DHTKD1	12800	NM_018706	1204	6	156,212,195,270,172,199	0,3068,6063,7514,10041,12601	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia,leukocyte	25242744,26873924,23249747,22319583
hsa_circ_14005	chr3:196863412-196869639|-	chr3:197136541-197142768|-	DLG1	6227	NM_001098424	483	4	137,170,125,51	0,1680,3598,6176	normal brain tissue	26873924
hsa_circ_14041	chr10:13169744-13178897|+	chr10:13127744-13136897|+	OPTN	9153	NM_021980	523	4	159,131,80,153	0,4322,5757,9000	Hs68	23249747
hsa_circ_14083	chr3:101389973-101391057|-	chr3:101671129-101672213|-	ZBTB11	1084	NM_014415	468	2	232,236	0,848	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_14097	chr15:41648236-41669502|+	chr15:41356038-41377304|+	NUSAP1	21266	NM_001243143	784	6	102,110,188,158,117,109	0,2110,9363,15488,19673,21157	Hs68	23249747
hsa_circ_14122	chr8:132952745-132958880|+	chr8:131940498-131946633|+	EFR3A	6135	NM_015137	356	3	77,128,151	0,4246,5984	H9 hESCs,glioblastoma,leukemia	25242744,26873924,22319583
hsa_circ_14151	chr13:30801548-30857928|-	chr13:30227411-30283791|-	KATNAL1	56380	NM_001014380	1161	8	135,127,159,106,128,169,161,176	0,3056,3902,13048,13547,28035,52651,56204	normal brain tissue,Hs68	26873924,23249747
hsa_circ_14208	chr5:43161350-43162033|+	chr5:43161248-43161931|+	ZNF131	683	NM_003432	581	2	358,223	0,460	normal brain tissue,glioblastoma,oligodendroma,leukemia	26873924,22319583
hsa_circ_14239	chr3:113207791-113225452|-	chr3:113488944-113506605|-	SPICE1	17661	NM_144718	611	6	119,107,94,144,48,99	0,4261,5104,10494,14235,17562	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_14253	chr13:60348322-60385057|-	chr13:59774188-59810923|-	DIAPH3	36735	NM_001042517	292	3	60,96,136	0,539,36599	Hs68	23249747
hsa_circ_14272	chr14:23378691-23380612|-	chr14:22909482-22911403|-	RBM23	1921	NM_001077352	189	2	113,76	0,1845	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_14284	chr14:32559707-32586493|+	chr14:32090501-32117287|+	ARHGAP5	26786	NM_001030055	4033	2	3885,148	0,26638	H9 hESCs	25242744
hsa_circ_14332	chr7:156619298-156629579|-	chr7:156826604-156836885|-	LMBR1	10281	NM_022458	253	3	140,40,73	0,7148,10208	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_14372	chr6:7181356-7189555|+	chr6:7181123-7189322|+	RREB1	8199	NM_001003700	590	4	123,213,90,164	0,746,6310,8035	glioblastoma,Hs68	26873924,23249747
hsa_circ_14376	chr5:14405956-14420130|+	chr5:14405847-14420021|+	TRIO	14174	NM_007118	487	3	143,100,244	0,725,13930	Hs68	23249747
hsa_circ_14392	chr10:126727565-126799662|-	chr10:125038996-125111093|-	CTBP2	72097	NM_001329	263	2	159,104	0,71993	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_14460	chr4:88116475-88116842|-	chr4:87195323-87195690|-	KLHL8	367	NM_020803	367	1	367	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_14485	chr18:196636-204692|+	chr18:196636-204692|+	USP14	8056	NM_005151	701	7	131,81,86,115,66,93,129	0,979,1410,2565,6243,6461,7927	H9 hESCs,Hs68	25242744,23249747
hsa_circ_14498	chr13:111857635-111885640|+	chr13:111205288-111233293|+	ARHGEF7	28005	NM_001113511	507	4	85,131,202,89	0,4583,12390,27916	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_14519	chr1:23107913-23111569|+	chr1:22781420-22785076|+	EPHB2	3656	NM_004442	750	2	65,685	0,2971	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_14554	chr2:160599571-160605414|+	chr2:159743060-159748903|+	MARCH7	5843	NM_022826	1460	3	193,168,1099	0,2709,4744	leukemia	22319583
hsa_circ_14596	chr9:125932180-125946577|-	chr9:123169901-123184298|-	STRBP	14397	NM_001171137	807	5	145,166,221,108,167	0,3775,9105,10966,14230	normal brain tissue,cd_19	26873924,23446348
hsa_circ_14704	chr22:42204878-42206004|+	chr22:41808874-41810000|+	CCDC134	1126	NM_024821	241	2	119,122	0,1004	H9 hESCs,normal brain tissue,glioblastoma,leukemia	25242744,26873924,22319583
hsa_circ_14729	chr19:19675741-19680393|-	chr19:19564932-19569584|-	PBX4	4652	NM_025245	293	2	157,136	0,4516	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_14768	chr13:95768175-95840796|-	chr13:95115921-95188542|-	ABCC4	72621	NM_005845	1272	11	80,147,95,38,141,210,97,87,95,192,90	0,45267,47200,47688,48456,50236,54610,61785,62075,70779,72531	normal brain tissue	26873924
hsa_circ_14822	chr9:88233897-88248289|-	chr9:85618982-85633374|-	AGTPBP1	14392	NM_015239	1033	4	149,87,84,713	0,232,2219,13679	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_14825	chr2:200233327-200298237|-	chr2:199368604-199433514|-	SATB2	64910	NM_001172517	531	4	103,124,127,177	0,11759,13089,64733	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_14875	chr22:50197851-50217979|-	chr22:49804203-49824331|-	BRD1	20128	NM_014577	1538	2	157,1381	0,18747	H9 hESCs	25242744
hsa_circ_14881	chr3:56694758-56707753|-	chr3:56660730-56673725|-	FAM208A	12995	NM_001112736	1037	10	104,104,106,32,125,162,92,73,93,146	0,183,1654,2810,5529,7666,8969,9342,10869,12849	normal brain tissue,glioblastoma,oligodendroma,cd_34,neutr,Hs68	26873924,23446348,23249747
hsa_circ_15008	chr2:61712902-61717911|-	chr2:61485767-61490776|-	XPO1	5009	NM_003400	621	4	195,107,184,135	0,2397,2820,4874	H9 hESCs,Hs68	25242744,23249747
hsa_circ_15033	chr1:44773981-44785416|-	chr1:44308309-44319744|-	ERI3	11435	NM_024066	269	3	92,60,117	0,4859,11318	H9 hESCs,normal brain tissue,glioblastoma	25242744,26873924
hsa_circ_15066	chr12:70671911-70713144|+	chr12:70278131-70319364|+	CNOT2	41233	NR_037615	557	4	143,224,123,67	0,15939,32763,41166	H9 hESCs,normal brain tissue,glioblastoma	25242744,26873924
hsa_circ_15075	chr7:150814181-150815719|+	chr7:151117094-151118632|+	AGAP3	1538	NM_031946	579	5	88,86,142,135,128	0,276,541,1115,1410	normal brain tissue,oligodendroma,Hs68	26873924,23249747
hsa_circ_15078	chr6:152650864-152653025|-	chr6:152329729-152331890|-	SYNE1	2161	NM_033071	2161	1	2161	0	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_15106	chr3:37162982-37190529|-	chr3:37121491-37149038|-	LRRFIP2	27547	NM_006309	385	5	45,57,51,87,145	0,143,6138,7571,27402	H9 hESCs,Hs68	25242744,23249747
hsa_circ_15112	chr3:142455220-142467302|+	chr3:142736378-142748460|+	TRPC1	12082	NM_001251845	460	3	155,102,203	0,7106,11879	H9 hESCs,HEK293,Hs68	25242744,23446348,23249747
hsa_circ_15164	chr5:142675024-142680328|-	chr5:143295459-143300763|-	NR3C1	5304	NM_001204258	555	3	131,145,279	0,3208,5025	H9 hESCs	25242744
hsa_circ_15317	chr5:80063751-80088663|+	chr5:80767932-80792844|+	MSH3	24912	NM_002439	759	6	188,169,65,117,108,112	0,902,7761,10787,19632,24800	oligodendroma,leukemia	26873924,22319583
hsa_circ_15552	chr4:120166491-120194863|+	chr4:119245336-119273708|+	USP53	28372	NM_019050	2107	12	93,135,114,83,106,147,150,163,153,147,739,77	0,3411,10909,11104,14483,15170,16378,21983,22931,24354,25959,28295	normal brain tissue	26873924
hsa_circ_15553	chr2:61709514-61717911|-	chr2:61482379-61490776|-	XPO1	8397	NM_003400	1085	7	160,135,169,195,107,184,135	0,577,1557,3388,5785,6208,8262	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_15557	chr22:41531816-41536261|+	chr22:41135812-41140257|+	EP300	4445	NM_001429	350	3	94,138,118	0,1840,4327	H9 hESCs,normal brain tissue,glioblastoma,Hs68,leukocyte	25242744,26873924,23249747,22319583
hsa_circ_15562	chr2:68717321-68772444|+	chr2:68490189-68545312|+	APLF	55123	NM_173545	1190	7	72,173,148,133,182,356,126	0,12541,22890,23358,35871,47682,54997	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,cd_34,leukemia,leukocyte	25242744,26873924,23446348,22319583
hsa_circ_15640	chr17:20107645-20109225|+	chr17:20204332-20205912|+	SPECC1	1580	NM_001243439	1580	1	1580	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293	25242744,26873924,23446348
hsa_circ_15743	chr2:64189191-64211153|-	chr2:63962057-63984019|-	VPS54	21962	NM_016516	1030	6	386,132,35,79,242,156	0,3777,6899,10108,19588,21806	normal brain tissue,glioblastoma	26873924
hsa_circ_15809	chr2:62227835-62228117|+	chr2:62000700-62000982|+	COMMD1	282	NM_152516	282	1	282	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_15927	chr1:2234416-2236024|+	chr1:2302977-2304585|+	SKI	1608	NM_003036	798	4	126,116,263,293	0,307,862,1315	H9 hESCs,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_15956	chr1:21076215-21100103|-	chr1:20749722-20773610|-	HP1BP3	23888	NM_016287	791	6	160,91,155,81,144,160	0,7443,15654,17861,21207,23728	normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	26873924,23446348,23249747
hsa_circ_15958	chr3:157839891-157921034|+	chr3:158122102-158203245|+	RSRC1	81143	NM_001271838	496	3	196,126,174	0,1763,80969	normal brain tissue	26873924
hsa_circ_16058	chr14:21870115-21871822|-	chr14:21401956-21403663|-	CHD8	1707	NM_020920	755	4	180,168,196,211	0,379,1060,1496	H9 hESCs,oligodendroma	25242744,26873924
hsa_circ_16061	chr9:123199572-123253755|-	chr9:120437294-120491477|-	CDK5RAP2	54183	NR_073558	2724	13	233,574,123,232,418,173,176,138,110,131,101,144,171	0,2104,6325,10600,16161,21155,23277,30565,32816,34453,40055,49999,54012	oligodendroma	26873924
hsa_circ_16080	chr6:105192034-105198347|-	chr6:104744159-104750472|-	HACE1	6313	NM_020771	302	3	71,99,132	0,352,6181	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_16264	chr7:66273872-66275834|+	chr7:66808885-66810847|+	RABGEF1	1962	NM_014504	1962	1	1962	0	Hs68	23249747
hsa_circ_16286	chr9:136273891-136278041|-	chr9:133408767-133412921|-	REXO4	4150	NM_020385	502	4	75,89,194,144	0,2213,3527,4006	normal brain tissue	26873924
hsa_circ_16293	chr7:2400344-2404164|+	chr7:2360709-2364529|+	EIF3B	3820	NM_001037283	658	5	193,120,58,129,158	0,1935,2360,2922,3662	glioblastoma,Hs68	26873924,23249747
hsa_circ_16303	chr22:42605656-42611347|-	chr22:42209650-42215341|-	TCF20	5691	NM_005650	5691	1	5691	0	Hs68	23249747
hsa_circ_16326	chr2:36623756-36706837|+	chr2:36396613-36479694|+	CRIM1	83081	NM_016441	1041	6	174,243,121,122,183,198	0,44644,46001,67920,80275,82883	normal brain tissue,oligodendroma,Hs68	26873924,23249747
hsa_circ_16378	chr1:16632297-16641930|-	chr1:16305802-16315435|-	FBXO42	9633	NM_018994	384	2	117,267	0,9366	normal brain tissue	26873924
hsa_circ_16490	chr8:48308935-48353104|+	chr8:47396375-47440542|+	KIAA0146	44169	NM_001080394	572	3	251,101,220	0,11487,43949	normal brain tissue	26873924
hsa_circ_16562	chr17:36933939-36943173|-	chr17:38777686-38786920|-	PIP4K2B	9234	NM_003559	648	6	114,39,147,153,97,98	0,647,1696,2765,6556,9136	normal brain tissue,oligodendroma	26873924
hsa_circ_16611	chr4:55561677-55575705|+	chr4:54695511-54709539|+	KIT	14028	NM_000222	1164	6	270,282,137,169,190,116	0,2772,4118,8212,11586,13912	glioblastoma	26873924
hsa_circ_16791	chr18:2951052-2960847|-	chr18:2951054-2960849|-	LPIN2	9795	NM_014646	599	3	302,96,201	0,3449,9594	normal brain tissue,Hs68	26873924,23249747
hsa_circ_16821	chr6:79752559-79770535|-	chr6:79042842-79060818|-	PHIP	17976	NM_017934	411	3	161,99,151	0,17635,17825	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_16880	chr14:80963811-80997230|-	chr14:80497468-80530886|-	CEP128	33419	NM_152446	415	4	114,109,114,78	0,7443,29401,33341	H9 hESCs,Hs68	25242744,23249747
hsa_circ_16948	chr3:196817782-196846401|-	chr3:197090911-197119530|-	DLG1	28619	NM_004087	496	4	115,103,157,121	0,13991,25015,28498	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_17020	chr16:21973780-21987564|+	chr16:21962459-21976243|+	UQCRC2	13784	NM_003366	792	8	57,125,98,58,96,200,81,77	0,301,2948,6168,9065,9463,11436,13707	H9 hESCs,normal brain tissue,oligodendroma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_17047	chr13:20576989-20580726|+	chr13:20002849-20006586|+	ZMYM2	3737	NM_001190965	665	3	286,166,213	0,2224,3524	H9 hESCs,Hs68	25242744,23249747
hsa_circ_17112	chr6:149997395-150016357|-	chr6:149676259-149695221|-	LATS1	18962	NM_004690	2535	5	107,183,583,1514,148	0,295,3615,6819,18814	normal brain tissue	26873924
hsa_circ_17142	chr6:144808683-144832259|+	chr6:144487547-144511123|+	UTRN	23576	NM_007124	1122	7	150,162,129,174,156,171,180	0,1125,2523,3381,5753,11709,23396	Hs68	23249747
hsa_circ_17188	chr2:175976295-175986268|-	chr2:175111567-175121540|-	ATF2	9973	NM_001880	726	6	87,115,179,129,119,97	0,2426,3122,6422,6683,9876	normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia,leukocyte	26873924,23249747,22319583
hsa_circ_17219	chr12:124904502-124915333|-	chr12:124419956-124430787|-	NCOR2	10831	NM_006312	600	5	99,55,179,94,173	0,2544,6665,9656,10658	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_17291	chr3:183435438-183446639|+	chr3:183717650-183728851|+	YEATS2	11201	NM_018023	712	5	98,93,246,113,162	0,849,4240,6768,11039	normal brain tissue,glioblastoma	26873924
hsa_circ_17341	chr9:33971648-33973235|-	chr9:33971650-33973237|-	UBAP2	1587	NM_018449	159	2	104,55	0,1532	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_17365	chr17:19861326-19861884|-	chr17:19958013-19958571|-	AKAP10	558	NM_007202	558	1	558	0	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_17366	chr10:75331178-75336119|-	chr10:73571420-73576361|-	USP54	4941	uc010qkl.1	821	3	93,164,564	0,4091,4377	H9 hESCs	25242744
hsa_circ_17421	chr6:13579682-13584457|+	chr6:13579450-13584225|+	SIRT5	4775	NM_001193267	309	2	159,150	0,4625	H9 hESCs,Hs68	25242744,23249747
hsa_circ_17650	chr17:64049853-64092750|-	chr17:66053735-66096632|-	CEP112	42897	NM_145036	576	6	144,119,100,87,78,48	0,9227,13042,16179,42515,42849	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_17688	chr11:63426232-63426724|-	chr11:63658760-63659252|-	ATL3	492	NM_015459	359	2	144,215	0,277	H9 hESCs	25242744
hsa_circ_17718	chr15:63845913-63855207|+	chr15:63553714-63563008|+	USP3	9294	NR_046341	477	5	84,82,83,114,114	0,2952,4391,6142,9180	glioblastoma,Hs68,leukemia,leukocyte	26873924,23249747,22319583
hsa_circ_17740	chr5:16779653-16783578|-	chr5:16779544-16783469|-	MYO10	3925	NM_012334	463	5	104,85,14,125,135	0,979,1183,2160,3790	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_18035	chr7:90376995-90492584|+	chr7:90747680-90863269|+	CDK14	115589	NM_012395	270	3	95,80,95	0,42892,115494	H9 hESCs,leukemia	25242744,22319583
hsa_circ_18118	chr14:75016565-75022396|-	chr14:74549862-74555693|-	LTBP2	5831	NM_000428	959	5	103,287,207,171,191	0,1201,2324,3029,5640	Hs68	23249747
hsa_circ_18179	chr2:215617170-215661841|-	chr2:214752446-214797117|-	BARD1	44671	NM_000465	1519	6	109,173,81,950,149,57	0,15035,16785,28113,39850,44614	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_18254	chr1:243579003-243589860|+	chr1:243415701-243426558|+	SDCCAG8	10857	NM_006642	369	3	128,109,132	0,2266,10725	normal brain tissue,glioblastoma,oligodendroma,leukocyte	26873924,22319583
hsa_circ_18334	chr12:116534473-116549317|-	chr12:116096668-116111512|-	MED13L	14844	NM_015335	169	2	84,85	0,14759	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_18346	chr21:37734480-37744829|+	chr21:36362182-36372531|+	MORC3	10349	NM_015358	1260	4	46,167,889,158	0,1910,6805,10191	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_18409	chr5:94204037-94248681|-	chr5:94868332-94912976|-	MCTP1	44644	NM_001002796	1086	9	120,75,102,103,103,94,187,131,171	0,2084,2539,2982,4806,20546,26316,40918,44473	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_18435	chr15:83481854-83488240|+	chr15:82813102-82819488|+	WHAMM	6386	NM_001080435	661	4	174,151,170,166	0,3589,4817,6220	normal brain tissue,glioblastoma	26873924
hsa_circ_18480	chr11:12785725-12785981|+	chr11:12764178-12764434|+	TEAD1	256	NM_021961	256	1	256	0	H9 hESCs,normal brain tissue	25242744,26873924
hsa_circ_18509	chr5:137342678-137356886|-	chr5:138006989-138021197|-	FAM13B	14208	NM_001101800	1050	6	158,142,178,213,192,167	0,4018,4778,11312,11965,14041	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_18515	chr7:6472467-6476164|-	chr7:6432836-6436533|-	DAGLB	3697	NM_139179	554	3	123,259,172	0,1925,3525	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_18549	chr4:52729602-52752804|+	chr4:51863436-51886638|+	DCUN1D4	23202	NM_015115	389	5	71,40,115,92,71	0,233,10834,14326,23131	Hs68	23249747
hsa_circ_18583	chr16:68300495-68300624|+	chr16:68266592-68266721|+	SLC7A6	129	NM_001076785	129	1	129	0	H9 hESCs,normal brain tissue	25242744,26873924
hsa_circ_18615	chr7:128655032-128658211|-	chr7:129014978-129018157|-	TNPO3	3179	NM_001191028	432	3	157,74,201	0,2004,2978	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_34,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_18700	chr22:32154531-32161046|+	chr22:31758545-31765060|+	DEPDC5	6515	NM_001136029	221	3	88,47,86	0,2110,6429	H9 hESCs	25242744
hsa_circ_18804	chr5:177053436-177059739|-	chr5:177626435-177632738|-	LOC202181	6303	NR_026921	1676	3	70,233,1373	0,946,4930	normal brain tissue,glioblastoma,Hs68	26873924,23249747
hsa_circ_18808	chr5:40764615-40771965|-	chr5:40764513-40771863|-	PRKAA1	7350	NM_206907	1072	5	127,487,225,88,145	0,238,2952,4902,7205	normal brain tissue,oligodendroma,Hs68	26873924,23249747
hsa_circ_18911	chr2:160599571-160609082|+	chr2:159743060-159752571|+	MARCH7	9511	NM_022826	1630	4	193,168,1099,170	0,2709,4744,9341	leukemia	22319583
hsa_circ_18994	chr7:24663284-24708279|+	chr7:24623665-24668660|+	MPP6	44995	NM_016447	1116	8	119,153,153,228,132,100,69,162	0,18050,25946,26819,39924,41922,42355,44833	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,leukocyte	25242744,26873924,23446348,22319583
hsa_circ_19049	chr15:76584771-76588078|-	chr15:76292430-76295737|-	ETFA	3307	NM_000126	312	3	83,82,147	0,188,3160	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_19113	chr16:48311248-48337216|+	chr16:48277337-48303305|+	LONP2	25968	NM_031490	554	4	142,151,127,134	0,18677,22324,25834	normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia	26873924,23249747,22319583
hsa_circ_19124	chr5:95091099-95099324|+	chr5:95755395-95763620|+	RHOBTB3	8225	NM_014899	479	2	366,113	0,8112	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_19165	chr1:28362054-28374937|-	chr1:28035543-28048426|-	EYA3	12883	NM_001990	328	4	137,67,80,44	0,3295,7027,12839	normal brain tissue,glioblastoma,Hs68	26873924,23249747
hsa_circ_19168	chr1:58971731-59004982|-	chr1:58506059-58539310|-	OMA1	33251	NM_145243	1381	7	150,75,129,108,174,229,516	0,21201,24541,27893,28098,30453,32735	normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia,leukocyte	26873924,23249747,22319583
hsa_circ_19222	chr6:108984657-108986092|+	chr6:108663454-108664889|+	FOXO3	1435	NM_001455	1435	1	1435	0	H9 hESCs,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_19291	chr21:34906884-34911662|-	chr21:33534578-33539356|-	GART	4778	NM_000819	457	3	175,96,186	0,646,4592	H9 hESCs,Hs68	25242744,23249747
hsa_circ_19327	chrX:53672262-53707139|-	chrX:53645310-53680186|-	HUWE1	34877	NM_031407	666	5	153,207,99,69,138	0,2048,2892,8744,34739	normal brain tissue,Hs68	26873924,23249747
hsa_circ_19379	chr14:69356855-69360464|-	chr14:68890138-68893747|-	ACTN1	3609	NM_001130005	472	3	148,231,93	0,1914,3516	H9 hESCs,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_19391	chr15:30058468-30092905|-	chr15:29766265-29800702|-	TJP1	34437	NM_003257	562	4	277,103,125,57	0,5798,6967,34380	normal brain tissue,oligodendroma	26873924
hsa_circ_19407	chr1:65830317-65831879|+	chr1:65364634-65366196|+	DNAJC6	1562	NM_001256864	350	3	151,50,149	0,1250,1413	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukocyte	25242744,26873924,23249747,22319583
hsa_circ_19428	chr4:146806829-146824367|-	chr4:145885677-145903215|-	ZNF827	17538	NM_178835	1704	3	481,173,1050	0,6565,16488	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_19441	chr6:158922709-158925210|+	chr6:158501677-158504178|+	TULP4	2501	NM_020245	2501	1	2501	0	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_19536	chr11:581491-582081|+	chr11:581491-582081|+	PHRF1	590	NM_020901	235	2	115,120	0,470	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,leukemia	25242744,26873924,22319583
hsa_circ_19578	chr4:151023629-151023964|+	chr4:150102477-150102812|+	DCLK2	335	NR_036614	335	1	335	0	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_19599	chr10:70513608-70532856|+	chr10:68753851-68773099|+	CCAR1	19248	NM_018237	1532	9	226,114,167,211,84,186,192,240,112	0,862,1518,2421,3442,7155,12036,17354,19136	normal brain tissue,oligodendroma,cd_19,leukocyte	26873924,23446348,22319583
hsa_circ_19663	chr7:100417178-100417918|-	chr7:100819556-100820296|-	EPHB4	740	NM_004444	489	2	333,156	0,584	H9 hESCs	25242744
hsa_circ_19767	chr8:64098705-64100303|+	chr8:63186146-63187745|+	YTHDF3	1598	NM_152758	1598	1	1598	0	H9 hESCs,normal brain tissue,leukemia	25242744,26873924,22319583
hsa_circ_19859	chr12:129293332-129299615|-	chr12:128808787-128815070|-	SLC15A4	6283	NM_145648	712	4	169,78,169,296	0,608,1155,5987	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_19936	chr5:13911494-13931353|-	chr5:13911385-13931244|-	DNAH5	19859	NM_001369	1587	11	108,216,123,108,114,177,138,222,161,85,135	0,2357,3134,4962,5757,7790,9094,10721,11894,16708,19724	glioblastoma	26873924
hsa_circ_19981	chr12:105303432-105322472|-	chr12:104909654-104928694|-	SLC41A2	19040	NM_032148	830	2	108,722	0,18318	Hs68	23249747
hsa_circ_20110	chr2:236649606-236659132|+	chr2:235740962-235750488|+	AGAP1	9526	NM_001037131	363	3	86,142,135	0,3735,9391	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_20118	chr7:1937835-1976533|-	chr7:1898199-1936897|-	MAD1L1	38698	NM_003550	402	2	191,211	0,38487	H9 hESCs,normal brain tissue,oligodendroma	25242744,26873924
hsa_circ_20135	chr10:72462067-72468534|+	chr10:70702311-70708778|+	ADAMTS14	6467	NM_080722	348	2	157,191	0,6276	H9 hESCs,Hs68	25242744,23249747
