circpedia	hg19	hg38	circname	gene_Ensembl	gene_Refseq	transcript_Ensembl	transcript_Refseq
CIRCHSA_USP3_5	chr15:63845913-63855207|+	chr15:63553714-63563008|+	circUSP3(3-7)	ENSG00000140455.17	USP3	ENST00000540797.5	USP3-204
CIRCHSA_NUFIP2_2	chr17:27613009-27614734|-	chr17:29285991-29287716|-	circNUFIP2(2)	ENSG00000108256.9	NUFIP2	ENST00000225388.9	NUFIP2-201
CIRCHSA_PICALM_2	chr11:85685750-85695016|-	chr11:85974707-85983973|-	circPICALM(14-19)	ENSG00000073921.18	PICALM	ENST00000393346.8	PICALM-202
CIRCHSA_AGAP1_3	chr2:236649606-236659132|+	chr2:235740962-235750488|+	circAGAP1(4,5,6)	ENSG00000157985.20	AGAP1	ENST00000304032.13	AGAP1-201
CIRCHSA_ZMYM2_25	chr13:20625572-20641530|+	chr13:20051432-20067390|+	circZMYM2(14-22)	ENSG00000121741.17	ZMYM2	ENST00000382874.6	ZMYM2-203
CIRCHSA_HNRNPM_4	chr19:8530207-8539128|+	chr19:8465323-8474244|+	circHNRNPM(6-13)	ENSG00000099783.12	HNRNPM	ENST00000348943.7	HNRNPM-202
CIRCHSA_ACBD6_4	chr1:180366650-180382606|-	chr1:180397515-180413471|-	circACBD6(5,6)	ENSG00000230124.8	ACBD6	ENST00000642319.1	ACBD6-207
CIRCHSA_FGFR1_13	chr8:38282026-38315052|-	chr8:38424508-38457534|-	circFGFR1(3-8)	ENSG00000077782.22	FGFR1	ENST00000649678.1	FGFR1-243
CIRCHSA_FNDC3A_3	chr13:49771012-49772710|+	chr13:49196876-49198574|+	circFNDC3A(20-23)	ENSG00000102531.16	FNDC3A	ENST00000492622.6	FNDC3A-204
CIRCHSA_HERC4_3	chr10:69714351-69726559|-	chr10:67954594-67966802|-	circHERC4(13-17)	ENSG00000148634.16	HERC4	ENST00000277817.10	HERC4-201
CIRCHSA_SMC3_62	chr10:112352830-112358048|+	chr10:110593072-110598290|+	circSMC3(16,17)	ENSG00000108055.11	SMC3	ENST00000684988.1	SMC3-204
CIRCHSA_ZNF841_2	chr19:52579296-52592255|-	chr19:52076043-52089002|-	circZNF841(3-6)	ENSG00000197608.12	ZNF841	ENST00000594440.6	ZNF841-204
CIRCHSA_VIRMA_36	chr8:95503805-95518945|-	chr8:94491577-94506717|-	circVIRMA(16-22)	ENSG00000164944.12	VIRMA	ENST00000297591.10	VIRMA-201
CIRCHSA_TPP2_6	chr13:103279361-103309557|+	chr13:102627011-102657207|+	circTPP2(7-23)	ENSG00000134900.13	TPP2	ENST00000698381.1	TPP2-217
CIRCHSA_VMP1_16	chr17:57842331-57851246|+	chr17:59764970-59773885|+	circVMP1(6,7)	ENSG00000062716.13	VMP1	ENST00000262291.9	VMP1-201
CIRCHSA_ENSG00000285991_2	chr6:150147399-150174296|-	chr6:149826263-149853160|-	circENSG00000285991(10-14)	ENSG00000285991.1	ENSG00000285991	ENST00000647612.1	ENST00000647612
CIRCHSA_GRM8_2	chr7:126882748-126883569|-	chr7:127242694-127243515|-	circGRM8(2)	ENSG00000179603.18	GRM8	ENST00000339582.7	GRM8-201
CIRCHSA_GRM8_4	chr7:126746549-126883569|-	chr7:127106495-127243515|-	circGRM8(2,3)	ENSG00000179603.18	GRM8	ENST00000339582.7	GRM8-201
CIRCHSA_EVC2_3	chr4:5664833-5667376|-	chr4:5663106-5665649|-	circEVC2(8,9)	ENSG00000173040.13	EVC2	ENST00000475313.5	EVC2-203
CIRCHSA_GMPS_71	chr3:155611306-155633981|+	chr3:155893517-155916192|+	circGMPS(2-9)	ENSG00000163655.16	GMPS	ENST00000496455.7	GMPS-203
CIRCHSA_AGGF1_10	chr5:76342171-76344812|+	chr5:77046346-77048987|+	circAGGF1(6,7,8)	ENSG00000164252.13	AGGF1	ENST00000312916.12	AGGF1-201
CIRCHSA_STAM2_3	chr2:153001401-153004814|-	chr2:152144887-152148300|-	circSTAM2(3-6)	ENSG00000115145.10	STAM2	ENST00000263904.5	STAM2-201
CIRCHSA_ALS2_3	chr2:202625603-202626541|-	chr2:201760880-201761818|-	circALS2(4)	ENSG00000003393.16	ALS2	ENST00000264276.11	ALS2-201
CIRCHSA_GGA3_1	chr17:73238416-73239651|-	chr17:75242335-75243570|-	circGGA3(4-7)	ENSG00000125447.18	GGA3	ENST00000538886.5	GGA3-202
CIRCHSA_CLIP4_4	chr2:29344239-29358532|+	chr2:29121373-29135666|+	circCLIP4(2-6)	ENSG00000115295.21	CLIP4	ENST00000401605.5	CLIP4-202
CIRCHSA_PRKAA1_1	chr5:40764615-40777688|-	chr5:40764513-40777586|-	circPRKAA1(2-8)	ENSG00000132356.12	PRKAA1	ENST00000397128.7	PRKAA1-204
CIRCHSA_PRKAA1_5	chr5:40764615-40771965|-	chr5:40764513-40771863|-	circPRKAA1(4-8)	ENSG00000132356.12	PRKAA1	ENST00000397128.7	PRKAA1-204
CIRCHSA_NOLC1_1	chr10:103916775-103917971|+	chr10:102157018-102158214|+	circNOLC1(2-5)	ENSG00000166197.17	NOLC1	ENST00000405356.5	NOLC1-202
CIRCHSA_DAGLB_12	chr7:6472467-6476164|-	chr7:6432836-6436533|-	circDAGLB(3,4,5)	ENSG00000164535.15	DAGLB	ENST00000297056.11	DAGLB-201
CIRCHSA_CAMSAP1_4	chr9:138741982-138758382|-	chr9:135850136-135866536|-	circCAMSAP1(4-7)	ENSG00000130559.19	CAMSAP1	ENST00000389532.9	CAMSAP1-202
CIRCHSA_CCT4_13	chr2:62100136-62110683|-	chr2:61873001-61883548|-	circCCT4(3-10)	ENSG00000115484.15	CCT4	ENST00000394440.8	CCT4-201
CIRCHSA_TIMELESS_4	chr12:56824664-56828015|-	chr12:56430880-56434231|-	circTIMELESS(2-9)	ENSG00000111602.12	TIMELESS	ENST00000553532.6	TIMELESS-203
CIRCHSA_TIMELESS_6	chr12:56826809-56828015|-	chr12:56433025-56434231|-	circTIMELESS(2-6)	ENSG00000111602.12	TIMELESS	ENST00000553532.6	TIMELESS-203
CIRCHSA_HACE1_1	chr6:105192034-105198347|-	chr6:104744159-104750472|-	circHACE1(20,21,22)	ENSG00000085382.12	HACE1	ENST00000262903.9	HACE1-201
CIRCHSA_SLC37A3_1	chr7:140055467-140058585|-	chr7:140355667-140358785|-	circSLC37A3(6,7)	ENSG00000157800.18	SLC37A3	ENST00000477571.5	SLC37A3-215
CIRCHSA_CHD2_420	chr15:93467550-93563488|+	chr15:92924320-93020258|+	circCHD2(3-38)	ENSG00000173575.23	CHD2	ENST00000394196.9	CHD2-201
CIRCHSA_SPIDR_18	chr8:48308935-48353104|+	chr8:47396375-47440542|+	circSPIDR(5,6,7)	ENSG00000164808.17	SPIDR	ENST00000541342.2	SPIDR-227
CIRCHSA_RAD51C_4	chr17:56780556-56787351|+	chr17:58703195-58709990|+	circRAD51C(4,5)	ENSG00000108384.16	RAD51C	ENST00000583539.5	RAD51C-215
CIRCHSA_EXOC2_2	chr6:592468-599225|-	chr6:592468-599225|-	circEXOC2(8-11)	ENSG00000112685.14	EXOC2	ENST00000230449.9	EXOC2-201
CIRCHSA_EXOSC10_2	chr1:11130956-11137005|-	chr1:11070899-11076948|-	circEXOSC10(17-20)	ENSG00000171824.14	EXOSC10	ENST00000304457.11	EXOSC10-201
CIRCHSA_ZSCAN21_1	chr7:99654533-99655513|+	chr7:100056910-100057890|+	circZSCAN21(2,3)	ENSG00000166529.16	ZSCAN21	ENST00000456748.6	ZSCAN21-203
CIRCHSA_WDR11_83	chr10:122618154-122650399|+	chr10:120858642-120890887|+	circWDR11(3-19)	ENSG00000120008.16	WDR11	ENST00000263461.11	WDR11-201
CIRCHSA_CACTIN_1	chr19:3623685-3624160|-	chr19:3623687-3624162|-	circCACTIN(2)	ENSG00000105298.14	CACTIN	ENST00000429344.7	CACTIN-203
CIRCHSA_PUS7_2	chr7:105099614-105135700|-	chr7:105459167-105495253|-	circPUS7(6-16)	ENSG00000091127.14	PUS7	ENST00000481939.5	PUS7-204
CIRCHSA_STK3_45	chr8:99718694-99735197|-	chr8:98706466-98722969|-	circSTK3(5-8)	ENSG00000104375.17	STK3	ENST00000424861.6	STK3-202
CIRCHSA_ANKRD12_3	chr18:9182379-9211782|+	chr18:9182381-9211784|+	circANKRD12(2-6)	ENSG00000101745.17	ANKRD12	ENST00000262126.9	ANKRD12-201
CIRCHSA_ATXN10_28	chr22:46085591-46098727|+	chr22:45689711-45702847|+	circATXN10(2-5)	ENSG00000130638.17	ATXN10	ENST00000252934.10	ATXN10-201
CIRCHSA_RNF13_3	chr3:149563797-149629870|+	chr3:149846010-149912083|+	circRNF13(3-8)	ENSG00000082996.20	RNF13	ENST00000344229.7	RNF13-201
CIRCHSA_PCCA_40	chr13:100953713-100992513|+	chr13:100301459-100340259|+	circPCCA(13-18)	ENSG00000175198.17	PCCA	ENST00000376279.7	PCCA-201
CIRCHSA_AGTPBP1_11	chr9:88233897-88248289|-	chr9:85618982-85633374|-	circAGTPBP1(14-17)	ENSG00000135049.16	AGTPBP1	ENST00000376083.7	AGTPBP1-205
CIRCHSA_DCAF6_2	chr1:167935866-167944253|+	chr1:167966628-167975015|+	circDCAF6(3,4)	ENSG00000143164.16	DCAF6	ENST00000450548.5	DCAF6-205
CIRCHSA_LUC7L2_30	chr7:139056132-139102475|+	chr7:139371386-139417729|+	circLUC7L2(2-10)	ENSG00000146963.18	LUC7L2	ENST00000541170.7	LUC7L2-208
CIRCHSA_UBE2G1_2	chr17:4186092-4200109|-	chr17:4282797-4296814|-	circUBE2G1(3,4,5)	ENSG00000132388.13	UBE2G1	ENST00000396981.7	UBE2G1-201
CIRCHSA_LRIG2_29	chr1:113633939-113642904|+	chr1:113091317-113100282|+	circLRIG2(2-10)	ENSG00000198799.12	LRIG2	ENST00000361127.6	LRIG2-201
CIRCHSA_CCAR1_11	chr10:70482211-70532856|+	chr10:68722454-68773099|+	circCCAR1(2-18)	ENSG00000060339.14	CCAR1	ENST00000630771.2	CCAR1-218
CIRCHSA_CCAR1_19	chr10:70513608-70532856|+	chr10:68753851-68773099|+	circCCAR1(11-18)	ENSG00000060339.14	CCAR1	ENST00000630771.2	CCAR1-218
CIRCHSA_ATP6V0D1_1	chr16:67478430-67487618|-	chr16:67444527-67453715|-	circATP6V0D1(2,3)	ENSG00000159720.13	ATP6V0D1	ENST00000290949.8	ATP6V0D1-201
CIRCHSA_SPATA5_8	chr4:123848791-123900541|+	chr4:122927636-122979386|+	circSPATA5(2-11)	ENSG00000145375.9	SPATA5	ENST00000675612.1	SPATA5-205
CIRCHSA_SIPA1L3_2	chr19:38597176-38610522|+	chr19:38106536-38119882|+	circSIPA1L3(7,8,9)	ENSG00000105738.11	SIPA1L3	ENST00000222345.11	SIPA1L3-201
CIRCHSA_SIPA1L3_5	chr19:38631823-38633350|+	chr19:38141183-38142710|+	circSIPA1L3(11,12)	ENSG00000105738.11	SIPA1L3	ENST00000222345.11	SIPA1L3-201
CIRCHSA_PATL1_3	chr11:59426338-59426942|-	chr11:59658865-59659469|-	circPATL1(3,4)	ENSG00000166889.14	PATL1	ENST00000300146.10	PATL1-201
CIRCHSA_PATL1_5	chr11:59410352-59415386|-	chr11:59642879-59647913|-	circPATL1(15,16)	ENSG00000166889.14	PATL1	ENST00000300146.10	PATL1-201
CIRCHSA_N4BP1_2	chr16:48580057-48596355|-	chr16:48546146-48562444|-	circN4BP1(2-6)	ENSG00000102921.8	N4BP1	ENST00000262384.4	N4BP1-201
CIRCHSA_N4BP1_5	chr16:48587449-48596355|-	chr16:48553538-48562444|-	circN4BP1(2,3)	ENSG00000102921.8	N4BP1	ENST00000262384.4	N4BP1-201
CIRCHSA_USP25_19	chr21:17205666-17214859|+	chr21:15833347-15842540|+	circUSP25(17,18)	ENSG00000155313.16	USP25	ENST00000400183.7	USP25-204
CIRCHSA_TMCO3_2	chr13:114149816-114157903|+	chr13:113495501-113503588|+	circTMCO3(2-6)	ENSG00000150403.18	TMCO3	ENST00000434316.7	TMCO3-202
CIRCHSA_HUWE1_411	chrX:53602602-53621581|-	chrX:53575642-53594621|-	circHUWE1(28-42)	ENSG00000086758.16	HUWE1	ENST00000612484.4	HUWE1-214
CIRCHSA_CDK5RAP2_4	chr9:123199572-123253755|-	chr9:120437294-120491477|-	circCDK5RAP2(13-25)	ENSG00000136861.19	CDK5RAP2	ENST00000349780.9	CDK5RAP2-201
CIRCHSA_ZC3H14_2	chr14:89041036-89044484|+	chr14:88574692-88578140|+	circZC3H14(7,8,9)	ENSG00000100722.20	ZC3H14	ENST00000302216.12	ZC3H14-202
CIRCHSA_ORC2_38	chr2:201785715-201802689|-	chr2:200920992-200937966|-	circORC2(8-14)	ENSG00000115942.9	ORC2	ENST00000234296.7	ORC2-201
CIRCHSA_OMA1_3	chr1:58971731-59002413|-	chr1:58506059-58536741|-	circOMA1(2-7)	ENSG00000162600.12	OMA1	ENST00000421528.6	OMA1-203
CIRCHSA_NEK4_2	chr3:52771601-52775515|-	chr3:52737585-52741499|-	circNEK4(13,14,15)	ENSG00000114904.13	NEK4	ENST00000233027.10	NEK4-201
CIRCHSA_ZBTB11_8	chr3:101389973-101391057|-	chr3:101671129-101672213|-	circZBTB11(2,3)	ENSG00000066422.6	ZBTB11	ENST00000312938.5	ZBTB11-201
CIRCHSA_ARNTL2_3	chr12:27521194-27533337|+	chr12:27368261-27380404|+	circARNTL2(2-5)	ENSG00000029153.15	ARNTL2	ENST00000266503.10	ARNTL2-202
CIRCHSA_ARNTL2_5	chr12:27521194-27556474|+	chr12:27368261-27403541|+	circARNTL2(2-14)	ENSG00000029153.15	ARNTL2	ENST00000266503.10	ARNTL2-202
CIRCHSA_G3BP1_51	chr5:151166132-151180430|+	chr5:151786571-151800869|+	circG3BP1(2-11)	ENSG00000145907.16	G3BP1	ENST00000678925.1	G3BP1-270
CIRCHSA_BACE2_15	chr21:42598192-42629253|+	chr21:41226265-41257326|+	circBACE2(2-7)	ENSG00000182240.16	BACE2	ENST00000347667.5	BACE2-203
CIRCHSA_BACE2_16	chr21:42609439-42629253|+	chr21:41237512-41257326|+	circBACE2(3-7)	ENSG00000182240.16	BACE2	ENST00000347667.5	BACE2-203
CIRCHSA_SYNRG_2	chr17:35936438-35945538|-	chr17:37576340-37585430|-	circSYNRG(5-8)	ENSG00000275066.5	SYNRG	ENST00000612223.5	SYNRG-217
CIRCHSA_HOMER1_3	chr5:78734832-78752841|-	chr5:79439009-79457018|-	circHOMER1(2-5)	ENSG00000152413.15	HOMER1	ENST00000334082.11	HOMER1-202
CIRCHSA_MYBL2_1	chr20:42315491-42328684|+	chr20:43686851-43700044|+	circMYBL2(4,5,6)	ENSG00000101057.16	MYBL2	ENST00000396863.8	MYBL2-202
CIRCHSA_MYBL2_2	chr20:42331129-42331543|+	chr20:43702489-43702903|+	circMYBL2(7)	ENSG00000101057.16	MYBL2	ENST00000396863.8	MYBL2-202
CIRCHSA_MYBL2_3	chr20:42331129-42333998|+	chr20:43702489-43705358|+	circMYBL2(7,8)	ENSG00000101057.16	MYBL2	ENST00000396863.8	MYBL2-202
CIRCHSA_ATG7_16	chr3:11399891-11468400|+	chr3:11358417-11426926|+	circATG7(14-19)	ENSG00000197548.13	ATG7	ENST00000685771.1	ATG7-225
CIRCHSA_LZIC_1	chr1:9991948-9994918|-	chr1:9931890-9934860|-	circLZIC(2,3,4)	ENSG00000162441.12	LZIC	ENST00000488540.5	LZIC-205
CIRCHSA_NIPSNAP2_1	chr7:56049902-56051561|+	chr7:55982209-55983868|+	circNIPSNAP2(5,6)	ENSG00000146729.10	NIPSNAP2	ENST00000446692.5	NIPSNAP2-204
CIRCHSA_PSME3IP1_1	chr16:57197912-57207781|-	chr16:57164000-57173869|-	circPSME3IP1(2-6)	ENSG00000172775.17	PSME3IP1	ENST00000309137.13	PSME3IP1-201
CIRCHSA_ATXN2_13	chr12:111990083-111993723|-	chr12:111552279-111555919|-	circATXN2(2-5)	ENSG00000204842.18	ATXN2	ENST00000642389.2	ATXN2-227
CIRCHSA_MARCHF7_6	chr2:160599571-160605414|+	chr2:159743060-159748903|+	circMARCHF7(3,4)	ENSG00000136536.15	MARCHF7	ENST00000539065.5	MARCHF7-209
CIRCHSA_MARCHF7_7	chr2:160599571-160609082|+	chr2:159743060-159752571|+	circMARCHF7(3,4,5)	ENSG00000136536.15	MARCHF7	ENST00000539065.5	MARCHF7-209
CIRCHSA_GUSBP1_2	chr5:21491429-21497305|+	chr5:21491320-21497196|+	circGUSBP1(5,6,7)	ENSG00000183666.19	GUSBP1	ENST00000508260.5	GUSBP1-202
CIRCHSA_PHIP_6	chr6:79752559-79770535|-	chr6:79042842-79060818|-	circPHIP(5,6,7)	ENSG00000146247.15	PHIP	ENST00000275034.5	PHIP-201
CIRCHSA_SLC4A7_11	chr3:27459976-27493989|-	chr3:27418485-27452498|-	circSLC4A7(2-13)	ENSG00000033867.17	SLC4A7	ENST00000425128.6	SLC4A7-203
CIRCHSA_SKP1_1	chr5:133494145-133509713|-	chr5:134158454-134174022|-	circSKP1(2-5)	ENSG00000113558.19	SKP1	ENST00000353411.11	SKP1-202
CIRCHSA_NEIL3_4	chr4:178274461-178274882|+	chr4:177353307-177353728|+	circNEIL3(8)	ENSG00000109674.4	NEIL3	ENST00000264596.4	NEIL3-201
CIRCHSA_RAI14_1	chr5:34823060-34824596|+	chr5:34822955-34824491|+	circRAI14(15)	ENSG00000039560.14	RAI14	ENST00000265109.8	RAI14-201
CIRCHSA_SUCO_7	chr1:172525008-172539870|+	chr1:172555868-172570730|+	circSUCO(4-9)	ENSG00000094975.14	SUCO	ENST00000367723.8	SUCO-202
CIRCHSA_SRRM2_2	chr16:2807472-2810500|+	chr16:2757471-2760499|+	circSRRM2(3-10)	ENSG00000167978.17	SRRM2	ENST00000576924.5	SRRM2-230
CIRCHSA_NCOA3_9	chr20:46264065-46265506|+	chr20:47635321-47636762|+	circNCOA3(11,12)	ENSG00000124151.19	NCOA3	ENST00000371998.8	NCOA3-202
CIRCHSA_CSPP1_26	chr8:68044185-68049838|+	chr8:67131950-67137603|+	circCSPP1(15,16)	ENSG00000104218.16	CSPP1	ENST00000676113.1	CSPP1-215
CIRCHSA_AKT3_6	chr1:243708811-243859018|-	chr1:243545509-243695716|-	circAKT3(2-11)	ENSG00000117020.19	AKT3	ENST00000336199.9	AKT3-202
CIRCHSA_N4BP2L2_14	chr13:33091993-33101669|-	chr13:32517856-32527532|-	circN4BP2L2(3-6)	ENSG00000244754.9	N4BP2L2	ENST00000357505.10	N4BP2L2-202
CIRCHSA_REXO4_8	chr9:136273891-136278041|-	chr9:133408767-133412921|-	circREXO4(3-6)	ENSG00000148300.12	REXO4	ENST00000371942.8	REXO4-202
CIRCHSA_ADGRL2_19	chr1:82372701-82372915|+	chr1:81907016-81907230|+	circADGRL2(6)	ENSG00000117114.21	ADGRL2	ENST00000370721.5	ADGRL2-206
CIRCHSA_EIF3H_1	chr8:117668094-117671219|-	chr8:116655855-116658980|-	circEIF3H(3,4,5)	ENSG00000147677.12	EIF3H	ENST00000521861.6	EIF3H-209
CIRCHSA_UBE2V2_10	chr8:48955592-48956186|+	chr8:48043032-48043626|+	circUBE2V2(1,2)	ENSG00000169139.12	UBE2V2	ENST00000520595.2	UBE2V2-203
CIRCHSA_ENSG00000272822_1	chr12:49333437-49334971|-	chr12:48939654-48941188|-	circENSG00000272822(2,3,4)	ENSG00000272822.2	ENSG00000272822	ENST00000398092.4	ENST00000398092
CIRCHSA_DCUN1D4_25	chr4:52729602-52752804|+	chr4:51863436-51886638|+	circDCUN1D4(2-6)	ENSG00000109184.15	DCUN1D4	ENST00000381441.7	DCUN1D4-202
CIRCHSA_KLHL8_4	chr4:88116475-88116842|-	chr4:87195323-87195690|-	circKLHL8(2)	ENSG00000145332.14	KLHL8	ENST00000273963.10	KLHL8-201
CIRCHSA_CARM1_4	chr19:11018714-11019883|+	chr19:10908038-10909207|+	circCARM1(3,4)	ENSG00000142453.12	CARM1	ENST00000327064.9	CARM1-201
CIRCHSA_CARM1_5	chr19:11022859-11027453|+	chr19:10912183-10916777|+	circCARM1(5-8)	ENSG00000142453.12	CARM1	ENST00000327064.9	CARM1-201
CIRCHSA_NR3C1_1	chr5:142675024-142680328|-	chr5:143295459-143300763|-	circNR3C1(5,6,7)	ENSG00000113580.15	NR3C1	ENST00000343796.6	NR3C1-202
CIRCHSA_ZMYND8_8	chr20:45891031-45912392|-	chr20:47262287-47283648|-	circZMYND8(9-12)	ENSG00000101040.20	ZMYND8	ENST00000311275.11	ZMYND8-202
CIRCHSA_TRIP12_11	chr2:230723487-230744844|-	chr2:229858771-229880128|-	circTRIP12(2,3,4)	ENSG00000153827.14	TRIP12	ENST00000675453.1	TRIP12-219
CIRCHSA_KDM1B_4	chr6:18160113-18166609|+	chr6:18159882-18166378|+	circKDM1B(3-6)	ENSG00000165097.16	KDM1B	ENST00000650836.2	KDM1B-205
CIRCHSA_TANK_2	chr2:162036124-162081257|+	chr2:161179613-161224746|+	circTANK(2-6)	ENSG00000136560.14	TANK	ENST00000259075.6	TANK-201
CIRCHSA_SPAG9_15	chr17:49057106-49064598|-	chr17:50979745-50987237|-	circSPAG9(22-26)	ENSG00000008294.22	SPAG9	ENST00000262013.12	SPAG9-201
CIRCHSA_DOCK7_23	chr1:63042932-63091072|-	chr1:62577261-62625401|-	circDOCK7(12-18)	ENSG00000116641.18	DOCK7	ENST00000251157.10	DOCK7-201
CIRCHSA_LONP2_6	chr16:48311248-48337216|+	chr16:48277337-48303305|+	circLONP2(8-11)	ENSG00000102910.14	LONP2	ENST00000285737.9	LONP2-201
CIRCHSA_ARID1A_2	chr1:27087346-27089776|+	chr1:26760855-26763285|+	circARID1A(5-8)	ENSG00000117713.21	ARID1A	ENST00000430799.7	ARID1A-204
CIRCHSA_RBM23_4	chr14:23378691-23380612|-	chr14:22909482-22911403|-	circRBM23(2,3)	ENSG00000100461.18	RBM23	ENST00000359890.8	RBM23-203
CIRCHSA_AGAP1_17	chr2:236839408-236877267|+	chr2:235930764-235968623|+	circAGAP1(12,13)	ENSG00000157985.20	AGAP1	ENST00000304032.13	AGAP1-201
CIRCHSA_FGD6_4	chr12:95602618-95605043|-	chr12:95208842-95211267|-	circFGD6(2)	ENSG00000180263.14	FGD6	ENST00000343958.9	FGD6-201
CIRCHSA_AGFG1_2	chr2:228395806-228401709|+	chr2:227531090-227536993|+	circAGFG1(6-11)	ENSG00000173744.18	AGFG1	ENST00000409979.6	AGFG1-205
CIRCHSA_ERI3_11	chr1:44773981-44785416|-	chr1:44308309-44319744|-	circERI3(2,3,4)	ENSG00000117419.16	ERI3	ENST00000372259.9	ERI3-202
CIRCHSA_B3GALNT2_6	chr1:235643369-235658138|-	chr1:235480053-235494828|-	circB3GALNT2(2-5)	ENSG00000162885.14	B3GALNT2	ENST00000366600.8	B3GALNT2-202
CIRCHSA_RHBDF2_29	chr17:74477456-74484214|-	chr17:76481374-76488132|-	circRHBDF2(2,3,4)	ENSG00000129667.13	RHBDF2	ENST00000592123.5	RHBDF2-216
CIRCHSA_TJP1_9	chr15:30058468-30092905|-	chr15:29766265-29800702|-	circTJP1(2-5)	ENSG00000104067.17	TJP1	ENST00000346128.10	TJP1-201
CIRCHSA_STK3_50	chr8:99733301-99761618|-	chr8:98721073-98749390|-	circSTK3(4,5,6)	ENSG00000104375.17	STK3	ENST00000424861.6	STK3-202
CIRCHSA_CDON_93	chr11:125864765-125875952|-	chr11:125994870-126006057|-	circCDON(9-13)	ENSG00000064309.16	CDON	ENST00000392693.7	CDON-202
CIRCHSA_SMARCC1_7	chr3:47663696-47719801|-	chr3:47622206-47678311|-	circSMARCC1(16-25)	ENSG00000173473.11	SMARCC1	ENST00000254480.10	SMARCC1-201
CIRCHSA_PCCA_50	chr13:100861585-100925600|+	chr13:100209331-100273346|+	circPCCA(7-12)	ENSG00000175198.17	PCCA	ENST00000376279.7	PCCA-201
CIRCHSA_MAPK1_5	chr22:22160138-22162135|-	chr22:21805849-21807846|-	circMAPK1(2,3)	ENSG00000100030.15	MAPK1	ENST00000215832.11	MAPK1-201
CIRCHSA_SP3_11	chr2:174783320-174820960|-	chr2:173918592-173956232|-	circSP3(4,5)	ENSG00000172845.18	SP3	ENST00000310015.12	SP3-201
CIRCHSA_PUM2_3	chr2:20454623-20455931|-	chr2:20254862-20256170|-	circPUM2(16,17,18)	ENSG00000055917.16	PUM2	ENST00000338086.9	PUM2-201
CIRCHSA_LARP4B_73	chr10:909682-931700|-	chr10:863742-885760|-	circLARP4B(2-5)	ENSG00000107929.16	LARP4B	ENST00000316157.8	LARP4B-201
CIRCHSA_LARP4B_76	chr10:875324-931700|-	chr10:829384-885760|-	circLARP4B(2-11)	ENSG00000107929.16	LARP4B	ENST00000316157.8	LARP4B-201
CIRCHSA_ZNF462_9	chr9:109685634-109697902|+	chr9:106923353-106935621|+	circZNF462(2-6)	ENSG00000148143.13	ZNF462	ENST00000277225.10	ZNF462-201
CIRCHSA_CCAR1_25	chr10:70547683-70548085|+	chr10:68787926-68788328|+	circCCAR1(21,22)	ENSG00000060339.14	CCAR1	ENST00000630771.2	CCAR1-218
CIRCHSA_ZMYM4_1	chr1:35824525-35827390|+	chr1:35358924-35361789|+	circZMYM4(3,4,5)	ENSG00000146463.12	ZMYM4	ENST00000314607.11	ZMYM4-201
CIRCHSA_RASSF8_3	chr12:26217430-26220646|+	chr12:26064497-26067713|+	circRASSF8(4,5)	ENSG00000123094.16	RASSF8	ENST00000688511.1	RASSF8-216
CIRCHSA_COQ2_2	chr4:84188738-84200267|-	chr4:83267585-83279114|-	circCOQ2(2-5)	ENSG00000173085.15	COQ2	ENST00000503391.5	COQ2-203
CIRCHSA_USP22_4	chr17:20921254-20931987|-	chr17:21017941-21028674|-	circUSP22(2-5)	ENSG00000124422.12	USP22	ENST00000261497.9	USP22-201
CIRCHSA_NDUFS1_3	chr2:206992520-206994966|-	chr2:206127796-206130242|-	circNDUFS1(15,16)	ENSG00000023228.14	NDUFS1	ENST00000233190.11	NDUFS1-201
CIRCHSA_DOCK1_39	chr10:128768965-128810638|+	chr10:126970701-127012374|+	circDOCK1(2-12)	ENSG00000150760.13	DOCK1	ENST00000280333.9	DOCK1-201
CIRCHSA_QSER1_10	chr11:32953288-32956981|+	chr11:32931742-32935435|+	circQSER1(4)	ENSG00000060749.16	QSER1	ENST00000650167.2	QSER1-207
CIRCHSA_TNRC18_4	chr7:5413685-5417655|-	chr7:5374054-5378024|-	circTNRC18(6-10)	ENSG00000182095.15	TNRC18	ENST00000399537.8	TNRC18-203
CIRCHSA_SATB2_12	chr2:200233327-200298237|-	chr2:199368604-199433514|-	circSATB2(3-6)	ENSG00000119042.18	SATB2	ENST00000417098.6	SATB2-202
CIRCHSA_TRIM36_3	chr5:114466288-114469844|-	chr5:115130591-115134147|-	circTRIM36(8,9)	ENSG00000152503.10	TRIM36	ENST00000282369.7	TRIM36-201
CIRCHSA_PTPN13_20	chr4:87614739-87622954|+	chr4:86693586-86701801|+	circPTPN13(6,7)	ENSG00000163629.13	PTPN13	ENST00000427191.6	PTPN13-203
CIRCHSA_CCM2_3	chr7:45077851-45104245|+	chr7:45038252-45064646|+	circCCM2(2,3,4)	ENSG00000136280.17	CCM2	ENST00000461377.5	CCM2-203
CIRCHSA_OMA1_17	chr1:58971731-59004982|-	chr1:58506059-58539310|-	circOMA1(2-8)	ENSG00000162600.12	OMA1	ENST00000371226.8	OMA1-201
CIRCHSA_SLC30A7_1	chr1:101372407-101387397|+	chr1:100906851-100921841|+	circSLC30A7(3-8)	ENSG00000162695.12	SLC30A7	ENST00000370112.8	SLC30A7-203
