exorbase	hg19	hg38	circBase ID	Gene symbol	Gene type	Sample type	Tumor frequency of EVPs(Sample number)	Benign frequency of EVPs(Sample number)	Healthy frequency of EVPs(Sample number)	Urine frequency of EVPs(Sample number)	CSF frequency of EVPs(Sample number)	Bile frequency of EVPs(Sample number)	Tumor frequency(Sample number)	Healthy frequency(Sample number)	Urine frequency(Sample number)	CSF frequency(Sample number)	Tumor mean(EVPs)	Benign mean(EVPs)	Healthy mean(EVPs)	Urine mean(EVPs)	CSF mean(EVPs)	Bile mean(EVPs)	Tumor mean	Healthy mean	Urine mean	CSF mean	Diff group
exo_circ_067354	chr9:33986757-34017187|-	chr9:33986759-34017189|-	hsa_circ_0086735	UBAP2	protein coding gene	Blood;CSF;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.633(1552)	0.575(372)	0.672(244)	0.576(125)	0.2(5)	0.048(21)	0.81(385)	0.771(175)	0.567(30)	0.25(4)	27.151418	22.475806	34.557377	3.92924	1.6	1.952381	169.672727	105.2	14.9	0.25	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in Urine(down);CHB(down);CRC(up);Urine(down)
exo_circ_067408	chr9:35295692-35313986|+	chr9:35295695-35313989|+	hsa_circ_0008518	UNC13B	protein coding gene	Blood;CSF;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.34(1552)	0.245(372)	0.234(244)	0.44(125)	0.2(5)	0.19(21)	0.701(385)	0.594(175)	0.3(30)	0.25(4)	8.507732	6.922043	5.868852	1.269116	0.2	2.809524	16.649351	11.36	16.166667	2.5	EVPs in CRC(up);EVPs in MEL(down);EVPs in OV(up);EVPs in SCLC(up);EVPs in Urine(down);CHB(down);NSCLC(up);MGUS(down)
exo_circ_067495	chr9:36197547-36204176|+	chr9:36197550-36204179|+	hsa_circ_0007812	CLTA	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.237(1552)	0.21(372)	0.221(244)	0.056(125)	0(5)	0.048(21)	0.073(385)	0.097(175)	0(30)	0(4)	4.54768	5.241935	4.319672	0.050685	0.0	0.047619	4.58961	2.588571	0.0	0.0	EVPs in MEL(down);EVPs in NSCLC(down);EVPs in Urine(down);CRC(down);HCC(up);GC(down)
exo_circ_067511	chr9:36351111-36390613|-	chr9:36351114-36390616|-	hsa_circ_0087016	RNF38	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.006(1552)	0.011(372)	0(244)	0.04(125)	0(5)	0(21)	0.096(385)	0.097(175)	0(30)	0(4)	0.083119	0.080645	0.0	0.004869	0.0	0.0	0.249351	0.302857	0.0	0.0	EVPs in Benign(up);EVPs in Urine(up);Urine(down)
exo_circ_068072	chr9:77611362-77632364|-	chr9:74996446-75017448|-	hsa_circ_0087220	CARNMT1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.631(1552)	0.602(372)	0.631(244)	0.424(125)	0(5)	0(21)	0.779(385)	0.731(175)	0.233(30)	0(4)	40.614046	44.30914	42.913934	0.838046	0.0	0.0	69.436364	48.651429	1.1	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in KIRC(up);EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);CSF(down);MGUS(down);Urine(down)
exo_circ_068078	chr9:77631183-77632364|-	chr9:75016267-75017448|-	hsa_circ_0004189	CARNMT1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.604(1552)	0.551(372)	0.664(244)	0.512(125)	0(5)	0.19(21)	0.805(385)	0.811(175)	0.233(30)	0(4)	24.362758	22.739247	25.151639	1.617509	0.0	1.714286	172.335065	111.662857	1.333333	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in Urine(down);CHB(down);CRC(up);CSF(down);NSCLC(up);MGUS(down);GC(up);Urine(down)
exo_circ_068474	chr9:86274694-86301070|-	chr9:83659779-83686155|-	NA	UBQLN1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.142(1552)	0.097(372)	0.102(244)	0.2(125)	0(5)	0(21)	0.543(385)	0.394(175)	0.033(30)	0(4)	2.559923	2.145161	1.631148	0.449969	0.0	0.0	8.27013	5.788571	0.033333	0.0	EVPs in CRC(up);EVPs in MEL(down);CHB(down);Urine(down)
exo_circ_068488	chr9:86292641-86293514|-	chr9:83677726-83678599|-	hsa_circ_0001865	UBQLN1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.564(1552)	0.495(372)	0.5(244)	0.368(125)	0(5)	0.143(21)	0.392(385)	0.286(175)	0(30)	0(4)	23.86018	20.932796	19.065574	0.527044	0.0	1.52381	23.238961	16.137143	0.0	0.0	EVPs in Bile(down);EVPs in CRC(up);EVPs in CSF(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);CRC(up);ESCA(up);HCC(down);NSCLC(up);GC(up);Urine(down)
exo_circ_068490	chr9:86292641-86297981|-	chr9:83677726-83683066|-	hsa_circ_0006466	UBQLN1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.021(1552)	0.019(372)	0.041(244)	0.016(125)	0(5)	0(21)	0.127(385)	0.074(175)	0(30)	0(4)	0.190722	0.392473	0.647541	0.035421	0.0	0.0	0.418182	0.2	0.0	0.0	EVPs in HCC(down);HCC(down);NSCLC(up);GC(up);Urine(down)
exo_circ_068495	chr9:86293355-86301070|-	chr9:83678440-83686155|-	hsa_circ_0087357	UBQLN1	protein coding gene	Blood;EVPs in Blood;EVPs in CSF;EVPs in Urine;Urine	0.591(1552)	0.589(372)	0.652(244)	0.432(125)	0.4(5)	0(21)	0.325(385)	0.331(175)	0.1(30)	0(4)	22.329253	25.518817	33.627049	0.93402	3.0	0.0	5.784416	6.891429	0.166667	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in NSCLC(down);EVPs in Urine(down);CHB(down);ESCA(down);NSCLC(down);MGUS(down);Urine(down)
exo_circ_068499	chr9:86294689-86301070|-	chr9:83679774-83686155|-	hsa_circ_0008207	UBQLN1	protein coding gene	Blood;EVPs in Blood;EVPs in CSF;EVPs in Urine;Urine	0.565(1552)	0.54(372)	0.574(244)	0.312(125)	0.2(5)	0(21)	0.442(385)	0.549(175)	0.3(30)	0(4)	31.041237	36.739247	30.889344	0.524041	58.8	0.0	30.015584	28.64	4.066667	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in GC(down);EVPs in MEL(down);EVPs in NSCLC(down);EVPs in Urine(down);CHB(down);HCC(down);NSCLC(up);Urine(down)
exo_circ_068588	chr9:88200377-88211364|-	chr9:85585462-85596449|-	hsa_circ_0087385	AGTPBP1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.083(1552)	0.059(372)	0.061(244)	0.056(125)	0(5)	0(21)	0.213(385)	0.086(175)	0(30)	0(4)	1.365335	0.946237	0.643443	0.013236	0.0	0.0	1.202597	0.314286	0.0	0.0	EVPs in MEL(down);EVPs in SCLC(up);CRC(up);ESCA(up);HCC(down);NSCLC(up);GC(up)
exo_circ_068600	chr9:88233897-88248289|-	chr9:85618982-85633374|-	hsa_circ_0001868	AGTPBP1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.476(1552)	0.414(372)	0.393(244)	0.232(125)	0(5)	0(21)	0.151(385)	0.154(175)	0(30)	0(4)	19.313789	16.467742	14.704918	0.134211	0.0	0.0	3.857143	6.051429	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in Urine(down);ESCA(down);HCC(up);NSCLC(down);MM(up);GC(down);Urine(down)
exo_circ_068892	chr9:95009658-95014167|-	chr9:92247376-92251885|-	hsa_circ_0087483	IARS	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.014(1552)	0.003(372)	0.008(244)	0.016(125)	0(5)	0(21)	0.031(385)	0.051(175)	0(30)	0(4)	0.214562	0.061828	0.020492	0.001437	0.0	0.0	0.083117	0.125714	0.0	0.0	HCC(down)
exo_circ_068896	chr9:95018961-95032265|-	chr9:92256679-92269983|-	hsa_circ_0006702	IARS	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.044(1552)	0.016(372)	0.037(244)	0.168(125)	0(5)	0(21)	0.026(385)	0.006(175)	0(30)	0(4)	0.858247	0.36828	0.401639	0.067761	0.0	0.0	0.085714	0.022857	0.0	0.0	EVPs in Urine(down)
exo_circ_068900	chr9:95030455-95032265|-	chr9:92268173-92269983|-	hsa_circ_0008367	IARS	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.021(1552)	0.027(372)	0.004(244)	0.08(125)	0(5)	0.048(21)	0.023(385)	0.006(175)	0(30)	0(4)	0.490979	0.836022	0.008197	0.069176	0.0	0.285714	0.228571	0.017143	0.0	0.0	EVPs in CRC(up);EVPs in Urine(up);HCC(up)
exo_circ_068958	chr9:96233422-96238620|+	chr9:93471140-93476338|+	hsa_circ_0008193	FAM120A	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.509(1552)	0.551(372)	0.426(244)	0.344(125)	0(5)	0.095(21)	0.514(385)	0.251(175)	0.267(30)	0(4)	15.927191	20.497312	12.540984	0.796666	0.0	1.904762	80.948052	34.045714	7.633333	0.0	EVPs in Bile(down);EVPs in CRC(up);EVPs in GBM(down);EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);CRC(up);ESCA(up);NSCLC(up);MM(up);GC(up)
exo_circ_069631	chr9:109685634-109697902|+	chr9:106923353-106935621|+	NA	ZNF462	protein coding gene	EVPs in Blood;EVPs in Urine;Urine	0.003(1552)	0(372)	0.004(244)	0.04(125)	0(5)	0(21)	0.005(385)	0(175)	0.033(30)	0(4)	0.027062	0.0	0.438525	0.218118	0.0	0.0	0.007792	0.0	2.7	0.0	NA
exo_circ_070057	chr9:123199572-123253755|-	chr9:120437294-120491477|-	NA	CDK5RAP2	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.008(1552)	0.005(372)	0.008(244)	0.04(125)	0(5)	0(21)	0.013(385)	0.029(175)	0(30)	0(4)	0.08183	0.540323	0.459016	0.008222	0.0	0.0	0.025974	0.097143	0.0	0.0	EVPs in Urine(up)
exo_circ_070440	chr9:125932180-125946577|-	chr9:123169901-123184298|-	hsa_circ_0001888	STRBP	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.093(1552)	0.105(372)	0.131(244)	0.408(125)	0(5)	0(21)	0.592(385)	0.497(175)	0.1(30)	0(4)	2.531572	2.416667	1.762295	0.502016	0.0	0.0	8.353247	7.634286	0.4	0.0	EVPs in HCC(down);EVPs in MEL(down);EVPs in Urine(down);CHB(down);Urine(down)
exo_circ_070771	chr9:130931330-130943078|-	chr9:128169051-128180799|-	hsa_circ_0088737	CIZ1	protein coding gene	Blood;EVPs in Blood	0.028(1552)	0.019(372)	0.037(244)	0(125)	0(5)	0(21)	0.244(385)	0.143(175)	0(30)	0(4)	0.549613	0.228495	0.25	0.0	0.0	0.0	0.958442	0.44	0.0	0.0	EVPs in MEL(down);EVPs in ML(down);EVPs in SCLC(down);EVPs in Urine(down);CRC(up);NSCLC(up);GC(up);Urine(down)
exo_circ_071000	chr9:134305476-134314448|+	chr9:131430089-131439061|+	hsa_circ_0089195	PRRC2B	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.093(1552)	0.073(372)	0.086(244)	0.04(125)	0(5)	0(21)	0.242(385)	0.114(175)	0(30)	0(4)	1.684278	1.244624	1.709016	0.007588	0.0	0.0	3.332468	2.034286	0.0	0.0	ESCA(down);NSCLC(down);MM(up)
exo_circ_071139	chr9:136273891-136278041|-	chr9:133408767-133412921|-	NA	REXO4	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.054(1552)	0.051(372)	0.029(244)	0.136(125)	0(5)	0(21)	0.177(385)	0.251(175)	0.033(30)	0(4)	1.25451	1.021505	1.737705	0.081748	0.0	0.0	0.924675	1.342857	0.1	0.0	EVPs in CRC(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);ESCA(down);Urine(down)
exo_circ_071173	chr9:138741982-138758382|-	chr9:135850136-135866536|-	hsa_circ_0089489	CAMSAP1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.182(1552)	0.124(372)	0.135(244)	0.224(125)	0(5)	0.048(21)	0.678(385)	0.577(175)	0.233(30)	0(4)	4.268686	3.422043	1.82377	0.139799	0.0	0.047619	14.212987	10.325714	2.366667	0.0	EVPs in CRC(up);EVPs in OV(up);EVPs in SCLC(up);CHB(down);CRC(up);ESCA(up);NSCLC(up);MM(up);GC(up)
exo_circ_071183	chr9:138773478-138780119|-	chr9:135881632-135888273|-	NA	CAMSAP1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.048(1552)	0.051(372)	0.045(244)	0.096(125)	0(5)	0(21)	0.047(385)	0.097(175)	0(30)	0(4)	1.344716	0.862903	1.290984	0.052759	0.0	0.0	0.145455	0.32	0.0	0.0	HCC(down)
exo_circ_071256	chr9:140648622-140657272|+	chr9:137754170-137762820|+	hsa_circ_0089728	EHMT1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.176(1552)	0.148(372)	0.094(244)	0.104(125)	0(5)	0.048(21)	0(385)	0.034(175)	0(30)	0(4)	4.587629	3.836022	1.618852	0.029155	0.0	0.380952	0.0	0.148571	0.0	0.0	EVPs in Benign(up);EVPs in BRCA(up);EVPs in CRC(up);EVPs in ML(up);EVPs in OV(up);EVPs in SCLC(up);HCC(down)
exo_circ_071267	chr9:140705912-140712590|+	chr9:137811460-137818138|+	hsa_circ_0001906	EHMT1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.123(1552)	0.113(372)	0.115(244)	0.168(125)	0(5)	0(21)	0.166(385)	0.24(175)	0.1(30)	0(4)	2.860825	2.908602	1.840164	0.131956	0.0	0.0	1.215584	1.274286	2.333333	0.0	EVPs in CRC(up);EVPs in MEL(down);CHB(down)
exo_circ_071313	chr10:909682-931700|-	chr10:863742-885760|-	hsa_circ_0005772	LARP4B	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.031(1552)	0.03(372)	0.041(244)	0.16(125)	0(5)	0(21)	0.114(385)	0.051(175)	0.033(30)	0(4)	0.680412	0.537634	0.54918	0.067706	0.0	0.0	0.519481	0.228571	0.233333	0.0	EVPs in PDAC(down);EVPs in Urine(down);GC(up)
exo_circ_071538	chr10:5810175-5842668|-	chr10:5768212-5800705|-	NA	GDI2	protein coding gene	Blood;CSF;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.171(1552)	0.116(372)	0.176(244)	0.2(125)	0(5)	0.048(21)	0.678(385)	0.566(175)	0(30)	0.25(4)	3.068943	4.145161	3.094262	0.142111	0.0	0.047619	19.825974	13.177143	0.0	0.25	EVPs in MEL(down);CHB(down);CRC(up);CSF(down);Urine(down)
exo_circ_071658	chr10:7318853-7327916|-	chr10:7276891-7285954|-	hsa_circ_0000211	SFMBT2	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.748(1552)	0.64(372)	0.68(244)	0.472(125)	0(5)	0.19(21)	0.706(385)	0.811(175)	0.333(30)	0(4)	49.649485	47.516129	41.967213	1.595779	0.0	6.619048	24.924675	43.731429	14.633333	0.0	EVPs in Bile(down);EVPs in CSF(down);EVPs in GBM(down);EVPs in KIRC(up);EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);CRC(down);Liver_Cirrhosis(up);NSCLC(down);MM(up);GC(down);Urine(down)
exo_circ_071834	chr10:12039670-12056183|-	chr10:11997671-12014184|-	hsa_circ_0000213	UPF2	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine	0.383(1552)	0.352(372)	0.287(244)	0.256(125)	0.2(5)	0.048(21)	0.169(385)	0.257(175)	0(30)	0(4)	8.628866	9.451613	7.487705	0.432408	1.2	0.047619	5.4	6.005714	0.0	0.0	EVPs in Bile(down);EVPs in MEL(down);CHB(down);ESCA(down);HCC(down);NSCLC(down);Urine(down)
exo_circ_071852	chr10:12123470-12136270|+	chr10:12081471-12094271|+	hsa_circ_0004630	DHTKD1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.173(1552)	0.14(372)	0.086(244)	0.296(125)	0(5)	0(21)	0.275(385)	0.28(175)	0.067(30)	0(4)	4.263531	4.583333	3.409836	1.088716	0.0	0.0	1.781818	1.948571	0.233333	0.0	EVPs in NSCLC(up);EVPs in OV(up);CHB(down)
exo_circ_071956	chr10:13169744-13178897|+	chr10:13127744-13136897|+	hsa_circ_0007242	OPTN	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.456(1552)	0.339(372)	0.389(244)	0.328(125)	0(5)	0.095(21)	0.683(385)	0.646(175)	0.1(30)	0(4)	15.902706	10.758065	12.565574	0.675605	0.0	0.190476	15.298701	13.308571	0.833333	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);Urine(down)
exo_circ_071995	chr10:13705452-13717044|-	chr10:13663452-13675044|-	hsa_circ_0004373	AL157392.3	lncRNA gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.051(1552)	0.027(372)	0.025(244)	0.144(125)	0(5)	0(21)	0.075(385)	0.103(175)	0.067(30)	0(4)	1.166881	0.443548	0.422131	0.066552	0.0	0.0	0.641558	0.48	4.133333	0.0	EVPs in BRCA(up);EVPs in Urine(down)
exo_circ_072082	chr10:15858833-15889942|-	chr10:15816834-15847943|-	hsa_circ_0000219	MINDY3	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.447(1552)	0.417(372)	0.43(244)	0.424(125)	0.4(5)	0.048(21)	0.777(385)	0.823(175)	0.6(30)	0(4)	8.942655	9.83871	11.647541	1.300665	40.4	0.047619	50.698701	39.771429	15.533333	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);CHB(down);MM(up);Urine(down)
exo_circ_072091	chr10:15879202-15889942|-	chr10:15837203-15847943|-	hsa_circ_0017852	MINDY3	protein coding gene	Blood;EVPs in Blood	0.006(1552)	0(372)	0.004(244)	0(125)	0(5)	0(21)	0.119(385)	0.086(175)	0(30)	0(4)	0.047036	0.0	0.147541	0.0	0.0	0.0	0.555844	0.228571	0.0	0.0	CRC(up)
exo_circ_072191	chr10:17199439-17210916|-	chr10:17157440-17168917|-	NA	TRDMT1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.073(1552)	0.073(372)	0.07(244)	0.104(125)	0(5)	0(21)	0.187(385)	0.171(175)	0(30)	0(4)	1.503222	2.416667	2.54918	0.033999	0.0	0.0	0.945455	0.925714	0.0	0.0	ESCA(up);NSCLC(up);GC(up)
exo_circ_072569	chr10:22193450-22218070|-	chr10:21904521-21929141|-	NA	DNAJC1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.151(1552)	0.142(372)	0.148(244)	0.176(125)	0(5)	0(21)	0.626(385)	0.474(175)	0.033(30)	0(4)	2.924613	3.303763	3.204918	0.098788	0.0	0.0	11.636364	7.125714	0.033333	0.0	EVPs in MEL(down);CHB(down);CRC(up);GC(up);Urine(down)
exo_circ_072857	chr10:27311486-27337908|-	chr10:27022557-27048979|-	NA	ANKRD26	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.04(1552)	0.024(372)	0.045(244)	0.176(125)	0(5)	0.095(21)	0.049(385)	0.046(175)	0(30)	0(4)	0.923969	0.602151	0.766393	0.171889	0.0	0.238095	0.233766	0.257143	0.0	0.0	EVPs in Urine(down)
exo_circ_073479	chr10:34558584-34573173|-	chr10:34269656-34284245|-	hsa_circ_0018168	PARD3	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine	0.749(1552)	0.691(372)	0.807(244)	0.6(125)	0.6(5)	0.333(21)	0.075(385)	0.114(175)	0(30)	0(4)	102.134021	78.80914	116.692623	4.867279	118.4	10.761905	42.111688	6.874286	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in GC(down);EVPs in KIRC(down);EVPs in MEL(down);EVPs in ML(down);EVPs in SCLC(down);EVPs in Urine(down);CRC(down);ESCA(down);HCC(up);NSCLC(down);GC(down);Urine(down)
exo_circ_073484	chr10:34558584-34637043|-	chr10:34269656-34348115|-	hsa_circ_0018170	PARD3	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.007(1552)	0.005(372)	0.012(244)	0.04(125)	0(5)	0(21)	0.029(385)	0.029(175)	0(30)	0(4)	0.202964	0.043011	0.069672	0.008546	0.0	0.0	0.394805	0.091429	0.0	0.0	NA
exo_circ_073837	chr10:51632845-51656468|+	chr10:45939360-45962994|-	hsa_circ_0004915	PARGP1	pseudogene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.348(1552)	0.349(372)	0.258(244)	0.304(125)	0.2(5)	0.048(21)	0.532(385)	0.577(175)	0.667(30)	0(4)	14.519974	19.642473	11.491803	0.616764	0.2	0.238095	6.080519	9.691429	25.8	0.0	EVPs in Benign(up);EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);CHB(down);MM(up)
exo_circ_073960	chr10:51123962-51364706|-	chr10:49915916-49935142|-	NA	PARG	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.497(1552)	0.476(372)	0.467(244)	0.48(125)	0(5)	0.095(21)	0.506(385)	0.474(175)	0.6(30)	0(4)	15.344072	17.123656	13.508197	1.248925	0.0	1.095238	12.654545	10.371429	32.366667	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in OV(up);EVPs in SCLC(up);EVPs in Urine(down);CHB(down);NSCLC(up)
exo_circ_073964		chr10:49932099-49935142|-	NA	PARG	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.155(1552)	0.164(372)	0.123(244)	0.28(125)	0(5)	0(21)	0.296(385)	0.223(175)	0.133(30)	0(4)	3.944588	4.814516	2.471311	0.338109	0.0	0.0	1.716883	1.537143	3.466667	0.0	EVPs in MEL(down);CHB(down)
exo_circ_074015	chr10:52193235-52226692|-	chr10:50433475-50466932|-	NA	SGMS1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.144(1552)	0.099(372)	0.148(244)	0.264(125)	0(5)	0.048(21)	0.644(385)	0.509(175)	0.133(30)	0(4)	2.501933	2.30914	2.25	0.39044	0.0	1.047619	8.532468	4.594286	1.033333	0.0	EVPs in MEL(down);CHB(down);CRC(up);MGUS(down);GC(up);Urine(down)
exo_circ_074414	chr10:69714351-69726559|-	chr10:67954594-67966802|-	NA	HERC4	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;Urine	0.262(1552)	0.204(372)	0.217(244)	0(125)	0(5)	0.048(21)	0.662(385)	0.571(175)	0.233(30)	0(4)	7.096649	8.061828	6.25	0.0	0.0	0.047619	19.722078	12.605714	1.5	0.0	EVPs in MEL(down);EVPs in Urine(down);CHB(down);Urine(down)
exo_circ_074449	chr10:69773782-69804320|-	chr10:68014025-68044563|-	hsa_circ_0003259	HERC4	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.014(1552)	0.011(372)	0.004(244)	0.032(125)	0(5)	0(21)	0.013(385)	0.011(175)	0(30)	0(4)	0.274485	0.349462	0.221311	0.004897	0.0	0.0	0.015584	0.017143	0.0	0.0	NA
exo_circ_074605	chr10:70227879-70229920|-	chr10:68468122-68470163|-	hsa_circ_0006151	DNA2	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine	0.406(1552)	0.355(372)	0.41(244)	0.32(125)	0.2(5)	0.048(21)	0.509(385)	0.274(175)	0(30)	0(4)	12.151418	12.196237	13.418033	0.425342	64.2	0.571429	10.592208	4.091429	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in Urine(down);CHB(down);CRC(up);ESCA(up);NSCLC(up);MM(up);Urine(down)
exo_circ_074659	chr10:70482211-70532856|+	chr10:68722454-68773099|+	NA	CCAR1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.008(1552)	0.003(372)	0.004(244)	0.048(125)	0(5)	0(21)	0.052(385)	0.029(175)	0(30)	0(4)	0.045103	0.016129	0.040984	0.017175	0.0	0.0	0.090909	0.034286	0.0	0.0	NA
exo_circ_074691	chr10:70513608-70532856|+	chr10:68753851-68773099|+	hsa_circ_0000240	CCAR1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.162(1552)	0.159(372)	0.119(244)	0.152(125)	0(5)	0(21)	0.319(385)	0.217(175)	0.167(30)	0(4)	3.226804	5.360215	2.418033	0.089417	0.0	0.0	3.911688	1.685714	2.166667	0.0	EVPs in Bile(down);EVPs in MEL(down);CHB(down);CRC(up);ESCA(up);NSCLC(up);GC(up)
exo_circ_074735	chr10:70547683-70548085|+	chr10:68787926-68788328|+	NA	CCAR1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF	0.555(1552)	0.497(372)	0.578(244)	0(125)	0.2(5)	0.095(21)	0(385)	0.126(175)	0(30)	0(4)	21.686211	21.024194	22.401639	0.0	0.2	0.714286	0.0	6.08	0.0	0.0	EVPs in Bile(down);EVPs in CSF(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in NSCLC(down);EVPs in Urine(down);CRC(down);HCC(down);NSCLC(down);GC(down)
exo_circ_075136	chr10:75331178-75336119|-	chr10:73571420-73576361|-	hsa_circ_0007221	USP54	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.039(1552)	0.027(372)	0.025(244)	0.136(125)	0(5)	0.095(21)	0.171(385)	0.109(175)	0.1(30)	0(4)	0.686856	0.276882	0.155738	0.044418	0.0	0.714286	0.662338	0.737143	3.233333	0.0	EVPs in OV(up);EVPs in SCLC(up);EVPs in Urine(down);GC(up)
exo_circ_075447	chr10:88211723-88233730|-	chr10:86451966-86473973|-	hsa_circ_0019006	WAPL	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.106(1552)	0.089(372)	0.102(244)	0.144(125)	0(5)	0.048(21)	0.135(385)	0.103(175)	0(30)	0(4)	2.014175	1.77957	2.20082	0.09963	0.0	0.047619	1.251948	0.92	0.0	0.0	EVPs in MEL(down);CHB(down);ESCA(down);NSCLC(down);MM(down);Urine(down)
exo_circ_075708	chr10:93185037-93221941|+	chr10:91425280-91462184|+	hsa_circ_0007168	HECTD2	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.387(1552)	0.28(372)	0.369(244)	0.144(125)	0(5)	0.048(21)	0.034(385)	0.206(175)	0.1(30)	0(4)	15.358247	11.018817	15.344262	0.114692	0.0	0.095238	0.612987	4.348571	0.733333	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in Urine(down);CRC(down);ESCA(down);HCC(down);NSCLC(down);GC(down)
